N1.AVG_Signal	N2.AVG_Signal	CQ1.AVG_Signal	CQ2.AVG_Signal	0.1%1.AVG_Signal	0.1%2.AVG_Signal
626.5721	566.4686	375.4182	325.5019	462.1209	479.0426
279.7408	255.9305	295.1618	250.0554	311.9013	325.2119
165.1807	181.1079	154.6111	154.6962	142.6276	147.4794
155.5717	159.3882	151.7271	132.8138	123.5589	116.0862
143.3664	131.4822	147.9503	157.2535	119.6735	123.9901
200.704	184.0222	176.6036	185.8624	171.8731	186.7303
433.4033	465.2232	802.8366	1161.7	442.3584	495.2332
2153.59	1938.079	479.3958	570.7357	1326.255	1425.374
9065.068	9329.95	5803.899	6897.244	6559.387	5888.563
154.0445	146.9279	147.0698	154.4601	138.2087	126.6022
150.8184	171.2549	176.3597	152.5764	135.3496	155.2567
131.005	125.817	118.3226	133.1357	115.8042	108.684
512.4426	517.6919	1503.659	1551.502	677.1789	645.1808
444.1613	430.1348	263.6126	291.7671	353.1601	314.8555
50955.91	52120.11	50670.2	53405.75	45327.59	41873.24
905.2292	916.6702	576.5568	435.4235	697.9044	645.8112
148.6597	146.5742	148.3641	135.18	134.7933	158.1669
175.9383	154.5435	162.5653	147.5564	144.0252	151.8871
148.379	136.528	129.1991	141.2001	133.6423	137.3233
161.2835	159.0423	174.9122	149.8157	150.2335	168.2331
330.9694	314.7408	461.4793	485.4999	385.7462	430.5057
119.2971	127.9267	175.8065	154.996	121.7062	104.9327
160.6347	158.2117	148.898	148.6113	149.9772	135.776
764.9022	807.5091	567.5071	542.3994	513.7158	550.3822
174.9949	162.5945	190.6326	169.4738	161.1938	169.9245
164.4798	172.2361	156.0365	168.0155	161.5843	167.3587
243.4115	233.2828	219.6128	194.9234	201.0432	191.1566
125.2793	114.2411	121.5568	111.054	123.2159	114.5933
4771.486	4756.933	2658.635	2613.577	6703.844	7099.418
159.476	153.4269	148.9259	125.5651	150.9439	146.1683
560.7109	732.5977	349.3552	407.4933	437.9333	422.7637
167.2736	169.9707	171.1825	159.6439	143.7634	149.7006
167.251	130.1474	143.3932	133.8777	128.7535	103.1148
103.7579	90.64309	93.97628	98.17932	84.96712	94.24894
224.15	248.2661	354.4399	343.0225	262.911	276.9771
171.8548	138.1726	157.8081	146.3457	129.8268	137.1357
123.3044	153.0417	137.059	150.3821	133.214	119.2638
167.2225	183.4622	161.978	172.9117	157.6021	186.5145
127.5691	123.4122	132.0641	112.7311	127.6602	118.8923
172.9917	146.5978	165.0794	149.7792	128.3775	151.9248
137.682	147.9716	153.3248	159.9965	152.9889	157.6341
172.8462	223.3105	216.8381	209.9611	191.0399	186.9903
251.0325	250.6751	217.3644	227.8884	197.0176	195.4704
1114.891	1042.5	968.2408	1002.362	785.6631	978.4646
325.4765	345.8574	209.6272	241.1244	206.5753	239.975
165.938	170.5067	195.8257	168.9481	169.644	161.349
194.8764	171.637	171.3033	172.1017	171.6234	178.3635
244.1167	250.0276	200.269	219.5051	197.7369	182.2809
210.0192	203.6694	153.3758	166.1036	218.6143	215.9621
187.5602	196.7199	183.1367	201.1144	163.4008	159.7704
135.6454	133.73	156.9795	141.8689	138.2147	136.1209
147.3494	153.4612	130.4357	116.243	126.4484	152.4157
146.1927	165.2954	148.7794	120.7027	148.134	134.0546
157.04	166.8823	158.426	142.2845	153.921	137.5654
132.3775	139.424	140.2951	139.0531	126.1291	135.5848
6910.451	6131.478	7117.929	6593.847	5923.625	5787.732
157.9509	156.1172	150.7488	139.7475	137.8094	149.6284
119.094	138.3866	120.866	98.2338	123.5782	114.5764
143.8008	136.4733	135.0718	132.6011	137.2951	135.154
176.7161	158.4494	154.5093	155.9501	156.8963	148.5918
155.5074	146.5461	155.2177	160.6277	151.8934	158.1287
167.3516	173.0625	180.7184	180.754	153.5364	161.0345
142.9973	158.0283	189.8247	209.8553	145.7577	142.4409
2039.811	1989.323	1010.175	1286.86	869.3746	845.0231
133.6537	151.809	136.5274	153.533	136.8764	136.619
194.7873	187.6926	190.1549	182.5276	171.2126	160.8259
127.2125	111.9073	104.9997	105.3828	110.6078	109.1475
147.7566	161.3386	138.7983	133.7101	120.982	114.3956
113.9972	121.6397	109.6863	114.3758	96.58862	89.8559
459.2352	512.5713	225.6367	241.3343	282.3669	269.9577
187.5751	189.4684	176.1402	177.2609	156.2475	194.6884
124.9062	109.9436	124.5974	127.3014	117.5912	106.6793
192.4192	182.1031	190.7198	184.4239	172.8012	157.1346
17321.21	18025.83	12000.52	11931.83	17615.99	17769.76
178.3141	205.3833	195.065	198.3809	177.8425	205.0593
131.8479	146.7583	141.6142	150.3556	142.2523	142.5793
2516.018	2522.961	2287.733	2398.683	2282.838	2453.868
206.3124	200.5434	219.2849	199.9671	185.8432	188.5981
594.9315	602.6432	650.4771	652.6589	646.3779	660.3303
133.4984	119.5794	142.673	153.0889	135.1952	107.2321
404.9827	452.7782	571.8839	507.8	467.9037	512.1622
140.2987	133.1077	105.8981	142.2661	129.1879	115.9618
179.2737	164.2433	185.6367	151.6299	178.8098	166.0046
